"isono","year","sexno","ageno","eduno","podr"
360,2080,0,0,0,0.175
360,2085,0,0,0,0.18
360,2090,0,0,0,0.183
360,2095,0,0,0,0.186
364,2010,0,0,0,0.048
364,2015,0,0,0,0.045
364,2020,0,0,0,0.047
364,2025,0,0,0,0.053
364,2030,0,0,0,0.062
364,2035,0,0,0,0.071
364,2040,0,0,0,0.082
364,2045,0,0,0,0.091
364,2050,0,0,0,0.102
364,2055,0,0,0,0.119
364,2060,0,0,0,0.144
364,2065,0,0,0,0.171
364,2070,0,0,0,0.184
364,2075,0,0,0,0.183
364,2080,0,0,0,0.171
364,2085,0,0,0,0.159
364,2090,0,0,0,0.153
364,2095,0,0,0,0.158
368,2010,0,0,0,0.034
368,2015,0,0,0,0.031
368,2020,0,0,0,0.033
368,2025,0,0,0,0.033
368,2030,0,0,0,0.033
368,2035,0,0,0,0.035
368,2040,0,0,0,0.041
368,2045,0,0,0,0.048
368,2050,0,0,0,0.054
368,2055,0,0,0,0.06
368,2060,0,0,0,0.065
368,2065,0,0,0,0.071
368,2070,0,0,0,0.078
368,2075,0,0,0,0.086
368,2080,0,0,0,0.095
368,2085,0,0,0,0.105
368,2090,0,0,0,0.115
368,2095,0,0,0,0.122
372,2010,0,0,0,0.078
372,2015,0,0,0,0.077
372,2020,0,0,0,0.081
372,2025,0,0,0,0.087
372,2030,0,0,0,0.092
372,2035,0,0,0,0.097
372,2040,0,0,0,0.102
372,2045,0,0,0,0.106
372,2050,0,0,0,0.11
372,2055,0,0,0,0.116
372,2060,0,0,0,0.122
372,2065,0,0,0,0.125
372,2070,0,0,0,0.124
372,2075,0,0,0,0.12
372,2080,0,0,0,0.117
372,2085,0,0,0,0.115
372,2090,0,0,0,0.117
372,2095,0,0,0,0.124
376,2010,0,0,0,0.068
376,2015,0,0,0,0.061
376,2020,0,0,0,0.059
376,2025,0,0,0,0.063
376,2030,0,0,0,0.066
376,2035,0,0,0,0.065
376,2040,0,0,0,0.064
376,2045,0,0,0,0.062
376,2050,0,0,0,0.061
376,2055,0,0,0,0.063
376,2060,0,0,0,0.065
376,2065,0,0,0,0.068
376,2070,0,0,0,0.069
376,2075,0,0,0,0.071
376,2080,0,0,0,0.073
376,2085,0,0,0,0.074
376,2090,0,0,0,0.076
376,2095,0,0,0,0.077
380,2010,0,0,0,0.131
380,2015,0,0,0,0.132
380,2020,0,0,0,0.133
380,2025,0,0,0,0.138
380,2030,0,0,0,0.139
380,2035,0,0,0,0.142
380,2040,0,0,0,0.151
380,2045,0,0,0,0.163
380,2050,0,0,0,0.176
380,2055,0,0,0,0.185
380,2060,0,0,0,0.185
380,2065,0,0,0,0.177
380,2070,0,0,0,0.166
380,2075,0,0,0,0.159
380,2080,0,0,0,0.155
380,2085,0,0,0,0.152
380,2090,0,0,0,0.15
